date,21/02/2022 21:13:15
initial_file_name,C12.wav
key_note,G
english_notation,"['G', 'A', 'B', 'C', 'D', 'E', 'F']"
intervals,"[2, 2, 1, 2, 2, 1]"
position_in_scale,"[0, 2, 4, 5, 7, 9, 10]"
list_of_corresponding_scales,"['Mixolydian', 'MixolydianBebop1']"
