date,21/02/2022 19:11:34
initial_file_name,C#15.wav
key_note,G#
english_notation,"['G#', 'A', 'A#', 'C#', 'D#', 'F']"
intervals,"[1, 1, 3, 2, 2]"
position_in_scale,"[0, 1, 2, 5, 7, 9]"
list_of_corresponding_scales,[]
