date,21/02/2022 21:13:00
initial_file_name,C2.wav
key_note,A
english_notation,"['A', 'D', 'F', 'G']"
intervals,"[5, 3, 2]"
position_in_scale,"[0, 5, 8, 10]"
list_of_corresponding_scales,[]
