date,21/02/2022 19:07:33
initial_file_name,D17.wav
key_note,G#
english_notation,"['G#', 'A', 'B', 'D', 'D#', 'E', 'F', 'F#']"
intervals,"[1, 2, 3, 1, 1, 1, 1]"
position_in_scale,"[0, 1, 3, 6, 7, 8, 9, 10]"
list_of_corresponding_scales,[]
