date,21/02/2022 21:12:15
initial_file_name,D1.wav
key_note,D
english_notation,"['D', 'D#', 'E', 'F', 'F#', 'G', 'A', 'B', 'C#']"
intervals,"[1, 1, 1, 1, 1, 2, 2, 2]"
position_in_scale,"[0, 1, 2, 3, 4, 5, 7, 9, 11]"
list_of_corresponding_scales,[]
