date,21/02/2022 18:39:59
initial_file_name,C8.wav
key_note,C
english_notation,"['C', 'C#', 'E', 'F', 'G', 'G#', 'A']"
intervals,"[1, 3, 1, 2, 1, 1]"
position_in_scale,"[0, 1, 4, 5, 7, 8, 9]"
list_of_corresponding_scales,['GypsyHexatonic5']
