date,21/02/2022 19:11:11
initial_file_name,C#0.wav
key_note,G#
english_notation,"['G#', 'A#', 'C#', 'D#', 'E', 'F']"
intervals,"[2, 3, 2, 1, 1]"
position_in_scale,"[0, 2, 5, 7, 8, 9]"
list_of_corresponding_scales,[]
