date,21/02/2022 19:08:41
initial_file_name,C13.wav
key_note,G#
english_notation,"['G#', 'A', 'B', 'C', 'D', 'E', 'F', 'G']"
intervals,"[1, 2, 1, 2, 2, 1, 2]"
position_in_scale,"[0, 1, 3, 4, 6, 8, 9, 11]"
list_of_corresponding_scales,"['MagenAbot', 'MagenAbot(3b2#)', 'MagenAbotallflats', 'MagenAbotallsharps']"
