date,21/02/2022 21:11:01
initial_file_name,C#7.wav
key_note,C
english_notation,"['C', 'C#', 'D#', 'E', 'F', 'F#', 'G#', 'A#']"
intervals,"[1, 2, 1, 1, 1, 2, 2]"
position_in_scale,"[0, 1, 3, 4, 5, 6, 8, 10]"
list_of_corresponding_scales,"['Spanish8Tones1', 'Spanish8Tones2', 'Spanish8Tones3']"
