date,21/02/2022 19:07:07
initial_file_name,D0.wav
key_note,G#
english_notation,"['G#', 'A', 'B', 'D', 'E', 'F', 'F#']"
intervals,"[1, 2, 3, 2, 1, 1]"
position_in_scale,"[0, 1, 3, 6, 8, 9, 10]"
list_of_corresponding_scales,[]
