date,21/02/2022 21:09:50
initial_file_name,C5.wav
key_note,C
english_notation,"['C', 'D', 'E', 'F', 'G', 'A']"
intervals,"[2, 2, 1, 2, 2]"
position_in_scale,"[0, 2, 4, 5, 7, 9]"
list_of_corresponding_scales,"['ScottishHexatonicArezzo', 'Major', 'Mixolydian', 'MixolydianBebop1']"
