date,21/02/2022 21:14:26
initial_file_name,D2.wav
key_note,G#
english_notation,"['G#', 'A', 'B', 'C#', 'D', 'E', 'F', 'F#', 'G']"
intervals,"[1, 2, 2, 1, 2, 1, 1, 1]"
position_in_scale,"[0, 1, 3, 5, 6, 8, 9, 10, 11]"
list_of_corresponding_scales,[]
