date,21/02/2022 21:09:44
initial_file_name,C1.wav
key_note,C
english_notation,"['C', 'D', 'D#', 'E', 'F', 'G', 'A', 'B']"
intervals,"[2, 1, 1, 1, 2, 2, 2]"
position_in_scale,"[0, 2, 3, 4, 5, 7, 9, 11]"
list_of_corresponding_scales,['DorianBebop']
