date,21/02/2022 20:28:17
initial_file_name,C#2.wav
key_note,G#
english_notation,"['G#', 'A#', 'C', 'C#', 'D#', 'F', 'F#']"
intervals,"[2, 2, 1, 2, 2, 1]"
position_in_scale,"[0, 2, 4, 5, 7, 9, 10]"
list_of_corresponding_scales,"['Mixolydian', 'MixolydianBebop1']"
